Campo de username,Campo de password,Campo de confirm password,Campo de aceptar terminos,Válidez
vacio,Contrase,Contrase,marcado,I
us...,c,c,no marcado,V
us...,Contras#,Contras#,marcado,
u,#@$^&*(@...,12345678,no marcado,
vacio,c,Contras#,no marcado,
vacio,vacio,12345678,marcado,
vacio,#@$^&*(@...,c,marcado,
u,12345678,Contra12...,marcado,
vacio,Con1234#,123456789...,no marcado,
u,Contrase,vacio,no marcado,
u,Contrasena#...,1234567,no marcado,
u,123456789...,c@,marcado,
u,Contrasena12...,c,marcado,
u,1234567,c,marcado,
us...,vacio,vacio,no marcado,
u,1,Contrasena1234@...,marcado,
us...,c1,Contrasena1234@...,no marcado,
u,12345678@..,Contras#,no marcado,
us...,#@$^&*(@...,Contras#,marcado,
vacio,123456789...,Contrasena#...,no marcado,
vacio,Contrasena#...,1,marcado,
u,#.#@$^&*(,123456789...,marcado,
vacio,#.#@$^&*(,12345678@..,no marcado,
u,Con1234#,Con1234#,marcado,
vacio,c1,vacio,marcado,
vacio,12345678@..,c@,no marcado,
us...,Con1234#,1@,no marcado,
us...,123456789...,12345678@..,marcado,
vacio,1234567,1@,no marcado,
vacio,Contrasena...,c,no marcado,
us...,123456789...,1,no marcado,
us...,Contra12...,Con1234#,no marcado,
us...,1,c1,no marcado,
vacio,Contra12...,1234567,marcado,
u,c,Contrasena12...,marcado,
us...,#.#@$^&*(,vacio,marcado,
u,c1,#@$^&*(@...,marcado,
us...,#@$^&*(@...,Contrasena...,no marcado,
us...,1@,1234567,no marcado,
u,Contra12...,c1,marcado,
u,Con1234#,1,marcado,
u,123456789...,1@,marcado,
us...,12345678@..,Contrase,marcado,
vacio,#.#@$^&*(,1,marcado,
us...,c,123456789...,marcado,
us...,Contrasena#...,12345678,marcado,
us...,1234567,Contrasena12...,no marcado,
us...,c,vacio,marcado,
vacio,123456789...,Contrasena12...,no marcado,
vacio,Contras#,Con1234#,no marcado,
vacio,c@,1@,no marcado,
vacio,1@,Con1234#,marcado,
vacio,1,vacio,no marcado,
vacio,12345678@..,Contrasena...,marcado,
u,123456789...,12345678,no marcado,
vacio,Contrase,c1,marcado,
us...,12345678,Contras#,no marcado,
us...,Contrasena#...,c,no marcado,
us...,Contra12...,Contrasena12...,marcado,
